date	close
28-Apr-04	12
29-Apr-04	7
30-Apr-04	14
1-May-04	20
2-May-04	9
3-May-04	15
4-May-04	16
5-May-04	17
6-May-04	6
7-May-04	15
8-May-04	2
9-May-04	1
10-May-04	7
11-May-04	14
12-May-04	80
13-May-04	11
14-May-04	8
15-May-04	5
16-May-04	17
17-May-04	20
18-May-04	33
19-May-04	23
20-May-04	12
21-May-04	26
22-May-04	6
23-May-04	9
24-May-04	24
25-May-04	22
26-May-04	34
27-May-04	22
28-May-04	7
29-May-04	2
31-May-04	3
1-Jun-04	25
2-Jun-04	29
3-Jun-04	36
4-Jun-04	19
5-Jun-04	29
6-Jun-04	11
7-Jun-04	31
8-Jun-04	46
9-Jun-04	37
10-Jun-04	47
11-Jun-04	56
12-Jun-04	7
13-Jun-04	28
14-Jun-04	43
15-Jun-04	25
16-Jun-04	9
17-Jun-04	43
18-Jun-04	32
19-Jun-04	10
20-Jun-04	8
21-Jun-04	25
22-Jun-04	64
23-Jun-04	28
24-Jun-04	17
25-Jun-04	11
26-Jun-04	17
27-Jun-04	3
28-Jun-04	10
29-Jun-04	21
30-Jun-04	23
1-Jul-04	48
2-Jul-04	55
3-Jul-04	6
4-Jul-04	3
5-Jul-04	11
6-Jul-04	24
8-Jul-04	2
9-Jul-04	22
10-Jul-04	16
11-Jul-04	5
12-Jul-04	12
13-Jul-04	14
14-Jul-04	35
15-Jul-04	53
16-Jul-04	86
17-Jul-04	86
18-Jul-04	77
19-Jul-04	59
20-Jul-04	73
21-Jul-04	93
22-Jul-04	51
23-Jul-04	61
24-Jul-04	59
25-Jul-04	34
26-Jul-04	76
27-Jul-04	27
28-Jul-04	13
29-Jul-04	7
30-Jul-04	4
31-Jul-04	6
1-Aug-04	10
2-Aug-04	17
3-Aug-04	11
4-Aug-04	18
5-Aug-04	27
6-Aug-04	13
7-Aug-04	11
8-Aug-04	2
9-Aug-04	1
10-Aug-04	11
11-Aug-04	13
12-Aug-04	9
13-Aug-04	9
14-Aug-04	16
15-Aug-04	6
16-Aug-04	21
17-Aug-04	22
18-Aug-04	36
19-Aug-04	34
20-Aug-04	26
21-Aug-04	19
22-Aug-04	41
23-Aug-04	19
24-Aug-04	20
25-Aug-04	38
26-Aug-04	61
27-Aug-04	16
28-Aug-04	44
29-Aug-04	18
30-Aug-04	30
31-Aug-04	73
1-Sep-04	16
2-Sep-04	28
3-Sep-04	69
4-Sep-04	22
5-Sep-04	36
6-Sep-04	67
7-Sep-04	29
8-Sep-04	26
9-Sep-04	29
10-Sep-04	25
11-Sep-04	21
12-Sep-04	15
13-Sep-04	37
14-Sep-04	57
15-Sep-04	41
16-Sep-04	58
17-Sep-04	25
18-Sep-04	62
19-Sep-04	39
20-Sep-04	49
21-Sep-04	67
22-Sep-04	58
23-Sep-04	44
24-Sep-04	17
25-Sep-04	17
26-Sep-04	9
27-Sep-04	18
28-Sep-04	24
29-Sep-04	14
30-Sep-04	27
1-Oct-04	23
2-Oct-04	27
3-Oct-04	16
4-Oct-04	34
5-Oct-04	13
6-Oct-04	29
7-Oct-04	37
8-Oct-04	32
9-Oct-04	18
10-Oct-04	20
11-Oct-04	64
12-Oct-04	50
13-Oct-04	70
14-Oct-04	68
15-Oct-04	47
16-Oct-04	40
17-Oct-04	15
18-Oct-04	65
19-Oct-04	40
20-Oct-04	23
21-Oct-04	21
22-Oct-04	51
23-Oct-04	32
24-Oct-04	14
25-Oct-04	29
26-Oct-04	80
27-Oct-04	29
28-Oct-04	48
29-Oct-04	49
30-Oct-04	21
31-Oct-04	25
1-Nov-04	11
2-Nov-04	9
3-Nov-04	13
4-Nov-04	35
5-Nov-04	33
6-Nov-04	7
7-Nov-04	14
8-Nov-04	18
9-Nov-04	28
10-Nov-04	20
11-Nov-04	4
12-Nov-04	16
13-Nov-04	3
14-Nov-04	13
15-Nov-04	14
16-Nov-04	22
17-Nov-04	37
18-Nov-04	29
19-Nov-04	34
20-Nov-04	19
21-Nov-04	30
22-Nov-04	42
23-Nov-04	58
24-Nov-04	106
25-Nov-04	55
26-Nov-04	22
27-Nov-04	26
28-Nov-04	13
29-Nov-04	33
30-Nov-04	21
